Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0
86	A4	P24A5	EC.AT	0.062630474	0.068681022	0.091337167	0.116539002	0.131287721	0.64	0.81
38	C2	P24A5	EC.AT	0.102764401	0.173929702	0.263368344	0.339174524	0.426018766	0.52	0.82
89	A1	P24A5	EC.ET	0.072364993	0.091638034	0.098865269	0.11058078	0.12416843	0.69	0.81
89	A2	P24A5	EC.ET	0.07292273	0.232872939	0.381943673	0.53173938	0.686902821	0.67	0.81
89	A3	P24A5	EC.ET	0.072338432	0.092471019	0.102357575	0.110888013	0.124928382	0.67	0.82
89	A4	P24A5	EC.ET	0.073995925	0.096565613	0.103235599	0.11148841	0.123406297	0.64	0.83
41	C2	P24A5	EC.ET	0.110816514	0.190155412	0.25949146	0.341166821	0.418141072	0.64	0.82
85	C1	P25A4	AC.AT	0.060216642	0.219020491	0.369708157	0.524415672	0.679405542	0.58	0.80
85	C2	P25A4	AC.AT	0.060689051	0.214085162	0.396113023	0.561789376	0.728163954	0.55	0.81
85	C3	P25A4	AC.AT	0.060520834	0.083580439	0.097532101	0.114440367	0.131089101	0.6	0.82
85	C4	P25A4	AC.AT	0.060926403	0.080992183	0.100135998	0.114882894	0.125881224	0.65	0.81
31	B4	P25A4	AC.AT	0.085506557	0.165487923	0.255859404	0.348215363	0.436069536	0.54	0.79
88	C1	P25A4	AC.ET	0.070643245	0.081493427	0.100453131	0.10925431	0.125606749	0.69	0.83
88	C2	P25A4	AC.ET	0.070537548	0.235968946	0.3872535	0.550548055	0.709541824	0.62	0.82
88	C3	P25A4	AC.ET	0.069840547	0.090610448	0.094421367	0.109967701	0.125125146	0.63	0.81
88	C4	P25A4	AC.ET	0.070678764	0.233411956	0.38721514	0.539054335	0.691389112	0.66	0.80
34	B4	P25A4	AC.ET	0.093120289	0.189598306	0.255924559	0.341475969	0.419450219	0.64	0.81
87	C1	P25A4	Control.AT	0.065993131	0.178120318	0.319106723	0.454074374	0.584399632	0.59	0.82
87	C2	P25A4	Control.AT	0.065631021	0.225688408	0.367230547	0.513030524	0.660465289	0.65	0.79
87	C3	P25A4	Control.AT	0.066029349	0.081843645	0.099138818	0.115989927	0.134516765	0.56	0.81
87	C4	P25A4	Control.AT	0.066867497	0.220660554	0.4013081	0.570077687	0.739728884	0.58	0.80
33	B4	P25A4	Control.AT	0.091101237	0.166170842	0.256338883	0.343208499	0.427150679	0.57	0.82
90	C1	P25A4	Control.ET	0.077609064	0.229662562	0.380620083	0.515160814	0.66138964	0.64	0.79
90	C2	P25A4	Control.ET	0.077631244	0.094452499	0.095997443	0.109719906	0.1184388	0.61	0.83
90	C3	P25A4	Control.ET	0.077693675	0.085709245	0.09926314	0.114075683	0.121838769	0.63	0.81
90	C4	P25A4	Control.ET	0.077936872	0.226908949	0.385026803	0.537233024	0.695770708	0.7	0.80
36	B4	P25A4	Control.ET	0.0970949	0.172501347	0.252419374	0.341219344	0.429581315	0.59	0.80
86	C1	P25A4	EC.AT	0.063571662	0.080689411	0.096709933	0.112112554	0.132362017	0.66	0.82
86	C2	P25A4	EC.AT	0.063402584	0.07052514	0.091960407	0.11668668	0.136517601	0.6	0.82
86	C3	P25A4	EC.AT	0.063556872	0.274762975	0.465396811	0.654286917	0.849049384	0.59	0.81
86	C4	P25A4	EC.AT	0.063483851	0.223499833	0.396513137	0.558002573	0.721591714	0.64	0.81
32	B4	P25A4	EC.AT	0.08808512	0.173338402	0.25031119	0.343356208	0.432033111	0.49	0.82
89	C1	P25A4	EC.ET	0.075361882	0.087437865	0.090084889	0.112599753	0.129643911	0.71	0.80
89	C2	P25A4	EC.ET	0.07423616	0.228404599	0.366499047	0.504467552	0.648912878	0.61	0.82
