Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0
79	B1	P17B3	AC.AT	0.040064465	0.199742973	0.386793217	0.559590995	0.739071886	0.62	0.80
79	B2	P17B3	AC.AT	0.041423259	0.080252387	0.094994346	0.117441051	0.135682842	0.56	0.79
79	B3	P17B3	AC.AT	0.04200807	0.073162406	0.086380067	0.113100185	0.138769141	0.59	0.80
79	B4	P17B3	AC.AT	0.040059283	0.213108411	0.360249627	0.520345273	0.675810935	0.6	0.81
67	B1	P17B3	AC.AT	0.003433123	0.031418424	0.087131039	0.124056603	0.164812845	0.69	0.83
82	B1	P17B3	AC.ET	0.047737792	0.210940091	0.39072028	0.553285383	0.71728385	0.6	0.80
82	B2	P17B3	AC.ET	0.048348349	0.216880026	0.358318659	0.505723529	0.659595457	0.58	0.82
82	B3	P17B3	AC.ET	0.04852566	0.081704731	0.097857072	0.111164199	0.130207469	0.52	0.81
82	B4	P17B3	AC.ET	0.048539932	0.073077013	0.088398408	0.118522695	0.142055622	0.58	0.83
70	B1	P17B3	AC.ET	0.013796559	0.048384965	0.08871902	0.122613082	0.156810846	0.62	0.80
81	B1	P17B3	Control.AT	0.046492572	0.18792437	0.367503478	0.525756359	0.688317736	0.59	0.80
81	B2	P17B3	Control.AT	0.046423733	0.204206515	0.349094843	0.512451958	0.664899494	0.61	0.81
81	B3	P17B3	Control.AT	0.046377241	0.07936398	0.096487211	0.111367096	0.132314721	0.59	0.81
81	B4	P17B3	Control.AT	0.046530242	0.208432382	0.352721197	0.505450998	0.659842584	0.56	0.79
69	B1	P17B3	Control.AT	0.01142754	0.0633833	0.082384289	0.118517885	0.153089821	0.63	0.81
84	B1	P17B3	Control.ET	0.055049545	0.232683782	0.400471491	0.562506345	0.7250882	0.63	0.79
84	B2	P17B3	Control.ET	0.055798721	0.212648029	0.35849703	0.504636182	0.656174776	0.66	0.82
84	B3	P17B3	Control.ET	0.055013006	0.208590511	0.376336235	0.545490575	0.705871845	0.62	0.80
84	B4	P17B3	Control.ET	0.054108098	0.073792173	0.096392748	0.110363511	0.12732819	0.64	0.82
72	B1	P17B3	Control.ET	0.019792296	0.201022433	0.355976481	0.521032091	0.68343923	0.55	0.79
80	B1	P17B3	EC.AT	0.04510266	0.055323549	0.084028686	0.120213695	0.144572075	0.66	0.81
80	B2	P17B3	EC.AT	0.045071316	0.056253073	0.0902439	0.119762327	0.141971081	0.64	0.82
80	B3	P17B3	EC.AT	0.044456144	0.054797637	0.095677434	0.118994608	0.147153061	0.6	0.82
80	B4	P17B3	EC.AT	0.044605091	0.211921615	0.36098519	0.518511853	0.67457755	0.62	0.80
68	B1	P17B3	EC.AT	0.007521501	0.05440831	0.092057797	0.123232005	0.154853989	0.56	0.80
83	B1	P17B3	EC.ET	0.04949751	0.069499197	0.088372712	0.117967275	0.136336744	0.63	0.80
83	B2	P17B3	EC.ET	0.050068115	0.068877901	0.087215481	0.117084683	0.144794252	0.63	0.83
83	B3	P17B3	EC.ET	0.050269066	0.076190453	0.094419934	0.1129941	0.140089614	0.68	0.81
83	B4	P17B3	EC.ET	0.050390508	0.202617933	0.347939643	0.503982621	0.660393072	0.67	0.79
71	B1	P17B3	EC.ET	0.016988671	0.065746911	0.092358193	0.119543187	0.148880194	0.63	0.83
103	C1	P18D5	AC.AT	0.123895364	0.247178127	0.378164469	0.509852402	0.643501255	0.72	0.80
103	C2	P18D5	AC.AT	0.121366641	0.259673109	0.395191503	0.532710257	0.67146184	0.71	0.80
103	C3	P18D5	AC.AT	0.123395772	0.11247798	0.10748962	0.101357011	0.1	0.69	0.81
103	C4	P18D5	AC.AT	0.121800491	0.252551916	0.375703256	0.505612612	0.634127278	0.67	0.83
1	C4	P18D5	AC.AT	0.059466973	0.159140332	0.257590596	0.347854207	0.437874576	0.64	0.83
106	C1	P18D5	AC.ET	0.148290478	0.255085167	0.379887714	0.508890734	0.631324486	0.59	0.80
106	C2	P18D5	AC.ET	0.147894543	0.26399659	0.384490445	0.509693116	0.626134513	0.62	0.80
106	C3	P18D5	AC.ET	0.14762366	0.276169025	0.387281596	0.502855968	0.626469152	0.6	0.81
106	C4	P18D5	AC.ET	0.149227472	0.255982001	0.380631719	0.509762093	0.631591648	0.62	0.80
4	C4	P18D5	AC.ET	0.099539804	0.247619705	0.410947122	0.572433787	0.736758199	0.65	0.81
105	C1	P18D5	Control.AT	0.13796984	0.262683338	0.38157404	0.507736682	0.63305598	0.68	0.82
105	C2	P18D5	Control.AT	0.139826526	0.250167379	0.379066551	0.513175084	0.638678011	0.71	0.79
105	C3	P18D5	Control.AT	0.137026004	0.269532938	0.389112868	0.511457496	0.636551905	0.68	0.81
105	C4	P18D5	Control.AT	0.139412258	0.278252143	0.38503201	0.504092477	0.623402151	0.71	0.81
3	C4	P18D5	Control.AT	0.010999161	0.09768487	0.173576695	0.255962411	0.340240203	0.68	0.81
108	C1	P18D5	Control.ET	0.174209664	0.296190737	0.404260138	0.50354428	0.612930432	0.71	0.83
108	C2	P18D5	Control.ET	0.173919094	0.347174237	0.516285453	0.686643677	0.859092244	0.67	0.81
108	C3	P18D5	Control.ET	0.173504513	0.346428558	0.492541052	0.652030058	0.807108844	0.69	0.82
108	C4	P18D5	Control.ET	0.174146233	0.291705748	0.394999234	0.508780579	0.615710719	0.66	0.81
6	C4	P18D5	Control.ET	0.027338527	0.168201096	0.319924334	0.467126512	0.617407718	0.67	0.80
104	C1	P18D5	EC.AT	0.129316649	0.108537815	0.106723047	0.102530406	0.1	0.64	0.82
104	C2	P18D5	EC.AT	0.128895212	0.109697921	0.107067317	0.104960524	0.100220393	0.58	0.83
104	C3	P18D5	EC.AT	0.128621981	0.110419448	0.10418625	0.105357413	0.100096676	0.56	0.82
104	C4	P18D5	EC.AT	0.129606425	0.26838451	0.395050882	0.544866538	0.684531558	0.58	0.81
2	C4	P18D5	EC.AT	0.022087568	0.04814469	0.090949203	0.118080741	0.155662972	0.67	0.81
107	C1	P18D5	EC.ET	0.163997982	0.268682506	0.395302316	0.512984998	0.629487616	0.72	0.83
107	C2	P18D5	EC.ET	0.162806529	0.275832252	0.389764604	0.510105133	0.627787691	0.71	0.80
107	C3	P18D5	EC.ET	0.163489736	0.271824498	0.345944588	0.444617786	0.53135393	0.66	0.82
107	C4	P18D5	EC.ET	0.165208673	0.282990961	0.401455039	0.519592318	0.638111062	0.64	0.81
5	C4	P18D5	EC.ET	0.014878462	0.163350499	0.324841138	0.472274775	0.624762006	0.68	0.82
103	B1	P19D2	AC.AT	0.127505518	0.262830657	0.38441447	0.510850582	0.631765048	0.69	0.82
103	B2	P19D2	AC.AT	0.124650819	0.109244109	0.110413452	0.10283919	0.100285011	0.66	0.81
103	B3	P19D2	AC.AT	0.124811563	0.25078369	0.385188258	0.508015733	0.638323033	0.63	0.79
103	B4	P19D2	AC.AT	0.123938855	0.258077296	0.383835324	0.503626726	0.63126404	0.64	0.83
67	A1	P19D2	AC.AT	0.006084491	0.190122203	0.381021242	0.58146064	0.7707717	0.68	0.81
106	B1	P19D2	AC.ET	0.152934382	0.321814309	0.483487311	0.648990867	0.812294746	0.6	0.83
106	B2	P19D2	AC.ET	0.152970018	0.276804215	0.38116945	0.50923114	0.627365718	0.56	0.83
106	B3	P19D2	AC.ET	0.149590335	0.266359463	0.389085838	0.5094173	0.629766238	0.54	0.83
106	B4	P19D2	AC.ET	0.152599903	0.265382737	0.389469175	0.507983321	0.62404849	0.52	0.80
70	A1	P19D2	AC.ET	0.015476015	0.174339293	0.340397701	0.508305016	0.671246774	0.7	0.81
105	B1	P19D2	Control.AT	0.140152877	0.253417513	0.391621795	0.519683633	0.65386752	0.61	0.81
105	B2	P19D2	Control.AT	0.142671371	0.262379107	0.399681401	0.524939238	0.648370362	0.67	0.80
105	B3	P19D2	Control.AT	0.140125613	0.244611262	0.347975957	0.451443786	0.55278416	0.71	0.81
105	B4	P19D2	Control.AT	0.140242041	0.259707623	0.39044029	0.505929128	0.629970091	0.67	0.83
69	A1	P19D2	Control.AT	0.012709782	0.036886027	0.082864441	0.123414339	0.160099638	0.66	0.81
108	B1	P19D2	Control.ET	0.175839705	0.301557673	0.403795694	0.506923423	0.612318541	0.63	0.82
108	B2	P19D2	Control.ET	0.174752577	0.328084506	0.497761301	0.649538322	0.808168243	0.69	0.79
108	B3	P19D2	Control.ET	0.174244059	0.288599428	0.398383763	0.507316176	0.617187432	0.68	0.81
108	B4	P19D2	Control.ET	0.175482922	0.293468962	0.394440858	0.504815246	0.618331226	0.67	0.80
72	A1	P19D2	Control.ET	0.0205765	0.1903056	0.34893582	0.508018312	0.66955819	0.65	0.81
104	B1	P19D2	EC.AT	0.129837373	0.257681075	0.387098009	0.511234425	0.635084284	0.64	0.80
104	B2	P19D2	EC.AT	0.133282542	0.26834346	0.390158847	0.512018241	0.643709452	0.61	0.81
104	B3	P19D2	EC.AT	0.130255829	0.302828222	0.479181774	0.653780049	0.828657226	0.58	0.82
104	B4	P19D2	EC.AT	0.129717707	0.254158153	0.378728672	0.509322224	0.629771872	0.59	0.79
68	A1	P19D2	EC.AT	0.008516726	0.058988148	0.082814181	0.120812886	0.155922835	0.65	0.83
107	B1	P19D2	EC.ET	0.165235543	0.341013041	0.49831459	0.658419429	0.826649426	0.65	0.79
107	B2	P19D2	EC.ET	0.169679805	0.284648625	0.399926913	0.510042158	0.623747209	0.67	0.80
107	B3	P19D2	EC.ET	0.167796464	0.327963349	0.497821701	0.654573083	0.817841947	0.65	0.80
107	B4	P19D2	EC.ET	0.165605057	0.271243407	0.394809014	0.50836168	0.624012088	0.62	0.80
71	A1	P19D2	EC.ET	0.01848428	0.228009901	0.436832305	0.652360797	0.86284435	0.66	0.80
109	C1	P1A5	AC.AT	0.17700867	0.288058645	0.39316661	0.505473724	0.619591177	0.58	0.81
109	C2	P1A5	AC.AT	0.18149984	0.285343736	0.396796395	0.507652114	0.619715322	0.6	0.82
109	C3	P1A5	AC.AT	0.176431894	0.291157458	0.396574628	0.511536632	0.617180314	0.6	0.80
109	C4	P1A5	AC.AT	0.177744248	0.254208336	0.341482922	0.424080013	0.507814644	0.57	0.81
13	B1	P1A5	AC.AT	0.006956394	0.117125458	0.245012664	0.352973257	0.469411946	0.62	0.82
112	C1	P1A5	AC.ET	0.292708589	0.414379156	0.54347464	0.663649429	0.78888586	0.67	0.79
112	C2	P1A5	AC.ET	0.305456321	0.417201645	0.534998851	0.650422337	0.76202689	0.64	0.79
112	C3	P1A5	AC.ET	0.293115402	0.427526628	0.529327648	0.653768278	0.76686331	0.59	0.80
112	C4	P1A5	AC.ET	0.301748456	0.408157892	0.537335145	0.652286438	0.76637411	0.66	0.79
16	B1	P1A5	AC.ET	0.027303169	0.14967683	0.246551183	0.351921176	0.4576523	0.54	0.81
111	C1	P1A5	Control.AT	0.22450756	0.357411573	0.504774627	0.648835117	0.795425188	0.69	0.81
111	C2	P1A5	Control.AT	0.249001953	0.383296896	0.512374576	0.646696723	0.783516744	0.58	0.83
111	C3	P1A5	Control.AT	0.243014435	0.376827461	0.528391055	0.682165454	0.828669159	0.6	0.80
111	C4	P1A5	Control.AT	0.235442386	0.378390206	0.512606058	0.658806289	0.80422933	0.66	0.81
15	B1	P1A5	Control.AT	0.01902056	0.123906017	0.235324311	0.35578229	0.472062999	0.6	0.80
114	C1	P1A5	Control.ET	0.283995372	0.388626625	0.494650307	0.605593202	0.718830734	0.62	0.81
114	C2	P1A5	Control.ET	0.31055583	0.415187083	0.520273991	0.636578854	0.762240104	0.63	0.8
114	C3	P1A5	Control.ET	0.193116389	0.297747642	0.41059081	0.524574281	0.642179988	0.61	0.81
114	C4	P1A5	Control.ET	0.316160536	0.420791789	0.529565463	0.639715762	0.757668579	0.66	0.81
18	B1	P1A5	Control.ET	0.03525936	0.140117952	0.246828175	0.350219026	0.453784373	0.63	0.82
110	C1	P1A5	EC.AT	0.193691673	0.29929	0.40204058	0.503903868	0.611013766	0.61	0.81
110	C2	P1A5	EC.AT	0.193392175	0.290567297	0.405456022	0.512126907	0.61313208	0.45	0.82
110	C3	P1A5	EC.AT	0.191563145	0.270987616	0.349499655	0.434988088	0.51069955	0.4	0.80
110	C4	P1A5	EC.AT	0.192305314	0.34066786	0.491940187	0.647982446	0.80074837	0.39	0.80
14	B1	P1A5	EC.AT	0.012943009	0.139327498	0.248149206	0.351361884	0.464757918	0.6	0.83
113	C1	P1A5	EC.ET	0.331203538	0.450329246	0.552488039	0.64912133	0.7473869	0.62	0.81
113	C2	P1A5	EC.ET	0.331037499	0.445322787	0.54804078	0.662742228	0.770552103	0.65	0.82
113	C3	P1A5	EC.ET	0.329087133	0.453236869	0.555373017	0.665797187	0.771542155	0.56	0.79
113	C4	P1A5	EC.ET	0.328836866	0.423503264	0.533778376	0.647131796	0.759773791	0.61	0.82
17	B1	P1A5	EC.ET	0.032785026	0.153183131	0.243629603	0.351323906	0.453043353	0.68	0.82
97	A1	P1C2	AC.AT	0.100351854	0.260477622	0.406047405	0.548820493	0.693056068	0.65	0.81
97	A2	P1C2	AC.AT	0.099023179	0.106974169	0.103698143	0.107288093	0.104033318	0.66	0.82
97	A3	P1C2	AC.AT	0.101000153	0.238812218	0.381825558	0.509221514	0.638668275	0.64	0.82
97	A4	P1C2	AC.AT	0.10044398	0.234949267	0.373765894	0.508980021	0.640065117	0.67	0.81
37	B3	P1C2	AC.AT	0.101685401	0.173256741	0.259147469	0.338555598	0.421205791	0.62	0.81
100	A1	P1C2	AC.ET	0.107790888	0.102739074	0.104649883	0.101821807	0.101864164	0.7	0.83
100	A2	P1C2	AC.ET	0.108709163	0.099915108	0.102742631	0.106456318	0.106153558	0.65	0.79
100	A3	P1C2	AC.ET	0.108062194	0.111119501	0.105119063	0.102832876	0.1	0.61	0.81
100	A4	P1C2	AC.ET	0.108623567	0.091135631	0.10014572	0.10775942	0.111358363	0.62	0.80
40	B3	P1C2	AC.ET	0.108872989	0.315503171	0.514569632	0.71102626	0.904462125	0.64	0.82
99	A1	P1C2	Control.AT	0.105492215	0.105329536	0.105918888	0.106128125	0.100531507	0.7	0.83
99	A2	P1C2	Control.AT	0.1058677	0.102213395	0.106401067	0.10485823	0.1	0.61	0.81
99	A3	P1C2	Control.AT	0.105627536	0.112214784	0.113362197	0.106294007	0.100234054	0.57	0.79
99	A4	P1C2	Control.AT	0.105975651	0.112629081	0.111068263	0.101794558	0.1	0.57	0.81
39	B3	P1C2	Control.AT	0.106794765	0.188841394	0.261255342	0.337200485	0.421444551	0.59	0.81
102	A1	P1C2	Control.ET	0.115130369	0.257218725	0.38493684	0.507003073	0.63478258	0.66	0.80
102	A2	P1C2	Control.ET	0.115104069	0.10270956	0.105097457	0.108203647	0.103662277	0.67	0.79
102	A3	P1C2	Control.ET	0.115083778	0.103547268	0.111334128	0.102706619	0.105384743	0.65	0.82
102	A4	P1C2	Control.ET	0.114872899	0.249864866	0.374587179	0.510362522	0.639106132	0.6	0.80
42	B3	P1C2	Control.ET	0.113990141	0.190691116	0.263671587	0.336235291	0.410523071	0.57	0.82
98	A1	P1C2	EC.AT	0.103080018	0.242406789	0.394133988	0.542321094	0.686405294	0.56	0.81
98	A2	P1C2	EC.AT	0.103200285	0.097513523	0.104873463	0.110736507	0.114252559	0.53	0.82
98	A3	P1C2	EC.AT	0.102441943	0.095253332	0.103714654	0.109186257	0.1068978	0.54	0.80
98	A4	P1C2	EC.AT	0.102593699	0.088890423	0.098948659	0.108143011	0.113340775	0.56	0.81
38	B3	P1C2	EC.AT	0.103749163	0.184549212	0.258570225	0.337283432	0.413539799	0.55	0.83
101	A1	P1C2	EC.ET	0.112212734	0.280337486	0.467129306	0.649150028	0.828991222	0.61	0.81
101	A2	P1C2	EC.ET	0.112301255	0.102477065	0.107761637	0.104738231	0.1	0.62	0.82
101	A3	P1C2	EC.ET	0.111680537	0.267679417	0.397154135	0.531088068	0.670986986	0.59	0.81
101	A4	P1C2	EC.ET	0.111305432	0.107578624	0.099024803	0.109419814	0.109578149	0.64	0.80
41	B3	P1C2	EC.ET	0.111887194	0.195765405	0.264471987	0.338077288	0.411619407	0.59	0.80
91	B1	P20A2	AC.AT	0.078771232	0.090659065	0.099601468	0.106745801	0.117123882	0.71	0.81
91	B2	P20A2	AC.AT	0.078247883	0.085375327	0.101582104	0.108469899	0.121829355	0.69	0.79
91	B3	P20A2	AC.AT	0.078048246	0.07616306	0.104323546	0.114028545	0.125047311	0.66	0.80
91	B4	P20A2	AC.AT	0.078490618	0.232660431	0.378890833	0.531801144	0.68155006	0.65	0.79
19	B4	P20A2	AC.AT	0.040517215	0.145699364	0.244542415	0.350657602	0.460545907	0.5	0.81
94	B1	P20A2	AC.ET	0.088071023	0.23185477	0.39810213	0.561281175	0.724368403	0.6	0.80
94	B2	P20A2	AC.ET	0.087525729	0.105166371	0.105421627	0.106318234	0.110696174	0.53	0.81
94	B3	P20A2	AC.ET	0.087710503	0.096406678	0.097016186	0.10904567	0.121298997	0.53	0.80
94	B4	P20A2	AC.ET	0.087080211	0.240847601	0.37255463	0.512829833	0.652736806	0.5	0.81
22	B4	P20A2	AC.ET	0.057639642	0.30581747	0.552759866	0.803814329	1.060371212	0.54	0.79
93	B1	P20A2	Control.AT	0.083691512	0.094114218	0.098764355	0.113060875	0.118380407	0.61	0.79
93	B2	P20A2	Control.AT	0.084482146	0.217849229	0.359925656	0.505161721	0.648068386	0.6	0.80
93	B3	P20A2	Control.AT	0.083291061	0.245237277	0.392817155	0.540300474	0.686191304	0.57	0.83
93	B4	P20A2	Control.AT	0.084262708	0.240210288	0.406166057	0.5544952	0.713130972	0.57	0.79
21	B4	P20A2	Control.AT	0.052002134	0.14479891	0.247062157	0.347300256	0.444272078	0.56	0.81
96	B1	P20A2	Control.ET	0.095907963	0.098910115	0.103222555	0.108661052	0.104512814	0.64	0.79
96	B2	P20A2	Control.ET	0.095634298	0.113190013	0.105032847	0.105825078	0.108531579	0.63	0.80
96	B3	P20A2	Control.ET	0.095870872	0.088087513	0.097780557	0.110259258	0.11456365	0.6	0.83
96	B4	P20A2	Control.ET	0.095650532	0.218532092	0.370178356	0.508207119	0.647513248	0.61	0.82
24	B4	P20A2	Control.ET	0.063158968	0.162766108	0.255106323	0.342180016	0.434671109	0.57	0.81
92	B1	P20A2	EC.AT	0.081111488	0.093523208	0.098404917	0.107834302	0.115397777	0.71	0.83
92	B2	P20A2	EC.AT	0.080835951	0.22961544	0.374861585	0.52863691	0.677174504	0.63	0.82
92	B3	P20A2	EC.AT	0.081001683	0.096061241	0.094637351	0.110054189	0.121401141	0.61	0.81
92	B4	P20A2	EC.AT	0.080951302	0.078526404	0.105292579	0.11190994	0.122223669	0.63	0.83
20	B4	P20A2	EC.AT	0.047525221	0.258675981	0.486321758	0.706980499	0.931506279	0.57	0.82
95	B1	P20A2	EC.ET	0.090995467	0.101709747	0.108871061	0.104279705	0.107587378	0.69	0.81
95	B2	P20A2	EC.ET	0.089675908	0.223355005	0.370229598	0.504718377	0.6469437	0.65	0.82
95	B3	P20A2	EC.ET	0.090866055	0.235196061	0.370838956	0.506382148	0.64802586	0.68	0.79
95	B4	P20A2	EC.ET	0.091321024	0.273428171	0.463034366	0.648136544	0.833045	0.66	0.82
23	B4	P20A2	EC.ET	0.059670575	0.168770207	0.248656839	0.348316989	0.439121387	0.61	0.80
97	C1	P20C2	AC.AT	0.101565056	0.101659395	0.10722862	0.10643456	0.107401011	0.69	0.81
97	C2	P20C2	AC.AT	0.101352163	0.10326576	0.105330978	0.108550574	0.110880204	0.63	0.80
97	C3	P20C2	AC.AT	0.101379809	0.242871962	0.371173166	0.506492878	0.642154	0.61	0.83
97	C4	P20C2	AC.AT	0.101537814	0.115252707	0.108144382	0.103845578	0.101062492	0.63	0.82
31	A4	P20C2	AC.AT	0.085341337	0.164665785	0.256676977	0.342309313	0.42691731	0.62	0.81
100	C1	P20C2	AC.ET	0.109498976	0.102290865	0.104838917	0.105751723	0.1	0.67	0.82
100	C2	P20C2	AC.ET	0.109286427	0.099522985	0.106910327	0.101996562	0.102703505	0.58	0.80
100	C3	P20C2	AC.ET	0.108710618	0.109840846	0.105401173	0.105822912	0.104370394	0.56	0.82
100	C4	P20C2	AC.ET	0.109690027	0.121449282	0.113260612	0.103576356	0.1	0.6	0.81
34	A4	P20C2	AC.ET	0.092746112	0.169181833	0.255644408	0.339289064	0.42666424	0.65	0.82
99	C1	P20C2	Control.AT	0.106109554	0.093966251	0.111668219	0.108846074	0.107511112	0.38	0.79
99	C2	P20C2	Control.AT	0.106488244	0.092146987	0.109509525	0.107604143	0.11174637	0.55	0.83
99	C3	P20C2	Control.AT	0.106365518	0.115132553	0.108164838	0.107521471	0.100569219	0.54	0.81
99	C4	P20C2	Control.AT	0.106569349	0.249151216	0.373000973	0.503724517	0.637688794	0.54	0.79
33	A4	P20C2	Control.AT	0.090829876	0.161322341	0.257729979	0.345126652	0.429093806	0.6	0.82
102	C1	P20C2	Control.ET	0.116916157	0.1001144	0.105982574	0.104531204	0.107174035	0.66	0.81
102	C2	P20C2	Control.ET	0.116550634	0.11308313	0.108199645	0.105451647	0.104773715	0.73	0.82
102	C3	P20C2	Control.ET	0.115656445	0.116376144	0.104068389	0.106949898	0.103345851	0.66	0.79
102	C4	P20C2	Control.ET	0.117737089	0.102099808	0.112134694	0.107143436	0.101069519	0.69	0.82
36	A4	P20C2	Control.ET	0.096911196	0.173687785	0.255769742	0.342240568	0.420871464	0.57	0.79
98	C1	P20C2	EC.AT	0.103914431	0.23642816	0.395082015	0.540784128	0.692704557	0.57	0.82
98	C2	P20C2	EC.AT	0.104393359	0.226830399	0.3461705	0.467738994	0.588816888	0.64	0.82
98	C3	P20C2	EC.AT	0.103348092	0.249765578	0.375424466	0.506954532	0.63910806	0.57	0.81
98	C4	P20C2	EC.AT	0.103828358	0.108787087	0.09853647	0.110380799	0.110327981	0.56	0.83
32	A4	P20C2	EC.AT	0.087394744	0.179488118	0.263449909	0.34209489	0.424121176	0.53	0.79
101	C1	P20C2	EC.ET	0.113899674	0.120213253	0.101059361	0.107706427	0.101716251	0.63	0.83
101	C2	P20C2	EC.ET	0.113380613	0.102555002	0.101138856	0.108693419	0.108222701	0.62	0.81
101	C3	P20C2	EC.ET	0.11279042	0.257294495	0.388218934	0.529199451	0.670059625	0.64	0.81
101	C4	P20C2	EC.ET	0.113088758	0.109029645	0.11440685	0.100928441	0.1	0.61	0.82
35	A4	P20C2	EC.ET	0.095333352	0.180516372	0.265375076	0.339687091	0.415641598	0.64	0.83
73	C1	P20C3	AC.AT	0.023862545	0.171205077	0.343688224	0.511349304	0.673410399	0.58	0.80
73	C2	P20C3	AC.AT	0.024244249	0.051254016	0.09090876	0.12117571	0.14650965	0.59	0.81
73	C3	P20C3	AC.AT	0.023775271	0.056913865	0.093397482	0.118716675	0.154889443	0.61	0.81
73	C4	P20C3	AC.AT	0.023622529	0.195635478	0.354829992	0.507018918	0.670809018	0.58	0.81
19	C1	P20C3	AC.AT	0.042755819	0.271752275	0.497872985	0.734724111	0.968952805	0.54	0.81
76	C1	P20C3	AC.ET	0.032244939	0.045318207	0.089054246	0.119678529	0.15459716	0.7	0.81
76	C2	P20C3	AC.ET	0.032448451	0.04934441	0.088849034	0.118055456	0.153153433	0.64	0.82
76	C3	P20C3	AC.ET	0.032406723	0.223607784	0.387892073	0.557365324	0.724031096	0.76	0.83
76	C4	P20C3	AC.ET	0.032327851	0.05729553	0.089401189	0.116240477	0.143407834	0.72	0.82
22	C1	P20C3	AC.ET	0.05806474	0.160592923	0.258610205	0.343307252	0.440856544	0.59	0.80
75	C1	P20C3	Control.AT	0.030698598	0.199775153	0.367328189	0.551977659	0.726260957	0.6	0.81
75	C2	P20C3	Control.AT	0.030785342	0.05617421	0.084712806	0.11627937	0.149778183	0.57	0.83
75	C3	P20C3	Control.AT	0.030482477	0.047269716	0.083536216	0.119336091	0.151045712	0.6	0.81
75	C4	P20C3	Control.AT	0.029998326	0.062031373	0.085925943	0.116395304	0.145436956	0.56	0.81
21	C1	P20C3	Control.AT	0.054044092	0.157107092	0.256194457	0.349645104	0.44605442	0.55	0.81
78	C1	P20C3	Control.ET	0.038791622	0.068820088	0.084149773	0.12108638	0.148530462	0.65	0.81
78	C2	P20C3	Control.ET	0.03870262	0.183477522	0.345808104	0.505664901	0.663216665	0.56	0.81
78	C3	P20C3	Control.ET	0.039037841	0.064086355	0.089343036	0.119479013	0.147693481	0.62	0.82
78	C4	P20C3	Control.ET	0.039074708	0.198576195	0.351087442	0.510571476	0.665661336	0.67	0.81
24	C1	P20C3	Control.ET	0.064222563	0.284915003	0.500510687	0.708023567	0.920609124	0.6	0.81
74	C1	P20C3	EC.AT	0.027691565	0.054310353	0.084117946	0.118341459	0.151083855	0.64	0.81
74	C2	P20C3	EC.AT	0.026983734	0.054805688	0.08785442	0.120568038	0.152545555	0.53	0.82
74	C3	P20C3	EC.AT	0.027259345	0.064404847	0.094906396	0.114885181	0.1428154	0.53	0.82
74	C4	P20C3	EC.AT	0.027159807	0.064359331	0.091736961	0.119544513	0.148836826	0.58	0.80
20	C1	P20C3	EC.AT	0.048058558	0.147833352	0.241793275	0.352048769	0.450356274	0.58	0.81
77	C1	P20C3	EC.ET	0.034666629	0.069106794	0.097745857	0.113907886	0.140911114	0.58	0.81
77	C2	P20C3	EC.ET	0.034488863	0.20437336	0.350557396	0.512659752	0.672169575	0.65	0.79
77	C3	P20C3	EC.ET	0.034793449	0.07330749	0.092602661	0.117348151	0.142655401	0.7	0.80
77	C4	P20C3	EC.ET	0.034590137	0.199511734	0.344952873	0.510296794	0.66547831	0.69	0.81
23	C1	P20C3	EC.ET	0.06014309	0.161822752	0.257969179	0.344380542	0.434832801	0.63	0.80
103	A1	P21A2	AC.AT	0.121265921	0.265750976	0.398223479	0.537004914	0.68218368	0.74	0.81
103	A2	P21A2	AC.AT	0.119563653	0.102366955	0.103508975	0.102572777	0.1	0.62	0.81
103	A3	P21A2	AC.AT	0.119550804	0.256195347	0.389168506	0.51119977	0.638546692	0.69	0.81
103	A4	P21A2	AC.AT	0.118817969	0.29637548	0.493762571	0.676252792	0.865716068	0.66	0.80
43	B3	P21A2	AC.AT	0.115454088	0.356426635	0.589266715	0.825291493	1.065329628	0.55	0.80
106	A1	P21A2	AC.ET	0.145714272	0.276234116	0.392376484	0.508618824	0.62608086	0.67	0.79
106	A2	P21A2	AC.ET	0.144871429	0.241961203	0.336767793	0.421892888	0.508795834	0.6	0.82
106	A3	P21A2	AC.ET	0.146705396	0.266542705	0.39530802	0.534162034	0.663758872	0.53	0.81
106	A4	P21A2	AC.ET	0.145270337	0.275898427	0.392041818	0.504523902	0.622638696	0.6	0.81
46	B3	P21A2	AC.ET	0.125389965	0.198817927	0.265327084	0.336648514	0.400784803	0.62	0.82
105	A1	P21A2	Control.AT	0.137006173	0.245876089	0.338316642	0.454517464	0.560534728	0.72	0.81
105	A2	P21A2	Control.AT	0.135178939	0.265592008	0.393681241	0.508076648	0.632041686	0.64	0.82
105	A3	P21A2	Control.AT	0.135344833	0.261242892	0.382874756	0.511332725	0.63648636	0.69	0.81
105	A4	P21A2	Control.AT	0.134294576	0.260828241	0.386713061	0.511374644	0.634376632	0.62	0.80
45	B3	P21A2	Control.AT	0.121436841	0.196137416	0.262210378	0.335481459	0.405810556	0.57	0.82
108	A1	P21A2	Control.ET	0.17333264	0.274830982	0.392469456	0.508189732	0.621999055	0.72	0.83
108	A2	P21A2	Control.ET	0.171632503	0.277686091	0.394713035	0.506045238	0.622485724	0.72	0.82
108	A3	P21A2	Control.ET	0.169913671	0.349222301	0.524674075	0.716599305	0.900344312	0.69	0.83
