Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0	
68	B3	P14D4	EC.AT	0.007484256	0.054043427	0.089426511	0.125008597	0.162534302	0.56	0.81	
69	B3	P14D4	Control.AT	0.009791041	0.050503129	0.085622246	0.122064279	0.154130783	0.57	0.82	
70	B3	P14D4	AC.ET	0.013780733	0.058836641	0.089367277	0.124166777	0.155490482	0.59	0.81	
71	B3	P14D4	EC.ET	0.016688231	0.053673123	0.084133589	0.116885423	0.152644154	0.62	0.80	
72	B3	P14D4	Control.ET	0.019641463	0.03852894	0.077733923	0.122165819	0.159981955	0.54	0.83	
7	C4	P15B2	AC.AT	0.037220167	0.197291425	0.33105737	0.462428231	0.604066095	0.59	0.83	
8	C4	P15B2	EC.AT	0.053943076	0.186981582	0.330823074	0.461817074	0.599035697	0.6	0.80	
9	C4	P15B2	Control.AT	0.165881541	0.297600181	0.43654778	0.563597165	0.691763144	0.55	0.80	
10	C4	P15B2	AC.ET	0.173389184	0.300879077	0.426788527	0.561473627	0.697347507	0.58	0.82	
11	C4	P15B2	EC.ET	0.186264088	0.321278758	0.441262747	0.559361557	0.679175631	0.7	0.83	
12	C4	P15B2	Control.ET	0.001218784	0.111392778	0.243089458	0.355372409	0.473541381	0.61	0.80	
43	B2	P15B3	AC.AT	0.115354547	0.181615347	0.260286897	0.340081237	0.412045763	0.57	0.80	
44	B2	P15B3	EC.AT	0.118201997	0.200605526	0.260840351	0.33369289	0.40786878	0.55	0.79	
45	B2	P15B3	Control.AT	0.120901094	0.178068692	0.258898375	0.337019217	0.415227783	0.53	0.82	
46	B2	P15B3	AC.ET	0.124154504	0.327364417	0.522836185	0.712241618	0.903249762	0.63	0.83	
47	B2	P15B3	EC.ET	0.12883735	0.188627213	0.263081478	0.337195187	0.403812125	0.64	0.81	
48	B2	P15B3	Control.ET	0.135304082	0.190846794	0.263131994	0.33701047	0.401796912	0.55	0.83	
43	B1	P15B4	AC.AT	0.115409878	0.206825142	0.262725016	0.334493224	0.405367409	0.57	0.81	
44	B1	P15B4	EC.AT	0.11852488	0.18939632	0.264701001	0.337406991	0.415104956	0.61	0.81	
45	B1	P15B4	Control.AT	0.121202991	0.189315967	0.272399701	0.333925908	0.407456855	0.58	0.79	
46	B1	P15B4	AC.ET	0.125215129	0.190615731	0.268815051	0.332558835	0.402976529	0.62	0.82	
47	B1	P15B4	EC.ET	0.129064313	0.196834133	0.274493458	0.336713288	0.400821382	0.64	0.82	
48	B1	P15B4	Control.ET	0.135415937	0.200926621	0.264964927	0.33270095	0.400772704	0.61	0.81	
7	C3	P15C1	AC.AT	0.038035998	0.187644209	0.323876026	0.467006782	0.60615639	0.53	0.81	
8	C3	P15C1	EC.AT	0.054947707	0.203534119	0.323085427	0.463702313	0.5969493	0.64	0.81	
9	C3	P15C1	Control.AT	0.166555876	0.307131848	0.426876612	0.563206903	0.688322519	0.51	0.83	
10	C3	P15C1	AC.ET	0.17440162	0.303283452	0.438617066	0.560770146	0.688660474	0.59	0.82	
11	C3	P15C1	EC.ET	0.187388679	0.327290246	0.442480937	0.554869773	0.67532201	0.63	0.82	
12	C3	P15C1	Control.ET	0.001569191	0.114664956	0.239516857	0.355753265	0.479287227	0.59	0.82	
13	B2	P15C3	AC.AT	0.005268583	0.140395984	0.236998968	0.353981296	0.466070003	0.55	0.83	
14	B2	P15C3	EC.AT	0.011923534	0.126167025	0.244280216	0.353225123	0.464954179	0.55	0.79	
15	B2	P15C3	Control.AT	0.016788815	0.138262507	0.238174698	0.354453843	0.462697032	0.53	0.79	
16	B2	P15C3	AC.ET	0.024897187	0.13744311	0.243957668	0.347665425	0.455568299	0.48	0.79	
17	B2	P15C3	EC.ET	0.031721224	0.131189465	0.239596194	0.349157957	0.46018634	0.58	0.81	
18	B2	P15C3	Control.ET	0.034582578	0.142500157	0.253194897	0.352346907	0.453267551	0.58	0.80	
13	C4	P16A2	AC.AT	0.005420858	0.133647789	0.233060099	0.356692364	0.471463691	0.61	0.82	
14	C4	P16A2	EC.AT	0.012021624	0.121528207	0.241098831	0.353207181	0.465347596	0.6	0.82	
15	C4	P16A2	Control.AT	0.016793235	0.120259494	0.239891022	0.35455005	0.470106399	0.54	0.80	
16	C4	P16A2	AC.ET	0.025194271	0.128530147	0.243446379	0.354139485	0.458570171	0.59	0.82	
17	C4	P16A2	EC.ET	0.032345805	0.286046937	0.546303396	0.796972402	1.047582408	0.43	0.81	
18	C4	P16A2	Control.ET	0.034768159	0.146714231	0.244221906	0.351642899	0.456422092	0.66	0.79	
61	A3	P16A3	AC.AT	0.184132388	0.223929475	0.276513944	0.322923219	0.373319713	0.62	0.80	
62	A3	P16A3	EC.AT	0.188324023	0.242689343	0.276488715	0.320678569	0.365229826	0.65	0.80	
63	A3	P16A3	Control.AT	0.190965789	0.244362697	0.289001672	0.32229582	0.364593441	0.61	0.83	
64	A3	P16A3	AC.ET	0.193387187	0.349792469	0.532342349	0.710250074	0.887825266	0.67	0.82	
65	A3	P16A3	EC.ET	0.197613117	0.404505394	0.599942068	0.783882148	0.979280682	0.64	0.80	
66	A3	P16A3	Control.ET	0.000113218	0.05583347	0.087838454	0.122198039	0.157722054	0.61	0.80	
49	C2	P16B3	AC.AT	0.138553285	0.201172338	0.271729964	0.332213748	0.393711391	0.6	0.83	
50	C2	P16B3	EC.AT	0.141683268	0.203617537	0.269893785	0.330948899	0.395924097	0.52	0.79	
51	C2	P16B3	Control.AT	0.146406178	0.217215141	0.272148859	0.33000022	0.393150474	0.56	0.81	
52	C2	P16B3	AC.ET	0.149964884	0.33499766	0.522459763	0.705829557	0.889197522	0.66	0.80	
